id,date,country,store,product
136950,2022-01-01,argentina,kaggle learn,using llms to improve your coding
136951,2022-01-01,argentina,kaggle learn,using llms to train more llms
136952,2022-01-01,argentina,kaggle learn,using llms to win friends and influence people
136953,2022-01-01,argentina,kaggle learn,using llms to win more kaggle competitions
136954,2022-01-01,argentina,kaggle learn,using llms to write better
136955,2022-01-01,argentina,kaggle store,using llms to improve your coding
136956,2022-01-01,argentina,kaggle store,using llms to train more llms
136957,2022-01-01,argentina,kaggle store,using llms to win friends and influence people
136958,2022-01-01,argentina,kaggle store,using llms to win more kaggle competitions
136959,2022-01-01,argentina,kaggle store,using llms to write better
136960,2022-01-01,argentina,kagglazon,using llms to improve your coding
136961,2022-01-01,argentina,kagglazon,using llms to train more llms
136962,2022-01-01,argentina,kagglazon,using llms to win friends and influence people
136963,2022-01-01,argentina,kagglazon,using llms to win more kaggle competitions
136964,2022-01-01,argentina,kagglazon,using llms to write better
136965,2022-01-01,canada,kaggle learn,using llms to improve your coding
136966,2022-01-01,canada,kaggle learn,using llms to train more llms
136967,2022-01-01,canada,kaggle learn,using llms to win friends and influence people
136968,2022-01-01,canada,kaggle learn,using llms to win more kaggle competitions
136969,2022-01-01,canada,kaggle learn,using llms to write better
136970,2022-01-01,canada,kaggle store,using llms to improve your coding
136971,2022-01-01,canada,kaggle store,using llms to train more llms
136972,2022-01-01,canada,kaggle store,using llms to win friends and influence people
136973,2022-01-01,canada,kaggle store,using llms to win more kaggle competitions
136974,2022-01-01,canada,kaggle store,using llms to write better
136975,2022-01-01,canada,kagglazon,using llms to improve your coding
136976,2022-01-01,canada,kagglazon,using llms to train more llms
136977,2022-01-01,canada,kagglazon,using llms to win friends and influence people
136978,2022-01-01,canada,kagglazon,using llms to win more kaggle competitions
136979,2022-01-01,canada,kagglazon,using llms to write better
136980,2022-01-01,estonia,kaggle learn,using llms to improve your coding
136981,2022-01-01,estonia,kaggle learn,using llms to train more llms
136982,2022-01-01,estonia,kaggle learn,using llms to win friends and influence people
136983,2022-01-01,estonia,kaggle learn,using llms to win more kaggle competitions
136984,2022-01-01,estonia,kaggle learn,using llms to write better
136985,2022-01-01,estonia,kaggle store,using llms to improve your coding
136986,2022-01-01,estonia,kaggle store,using llms to train more llms
136987,2022-01-01,estonia,kaggle store,using llms to win friends and influence people
136988,2022-01-01,estonia,kaggle store,using llms to win more kaggle competitions
136989,2022-01-01,estonia,kaggle store,using llms to write better
136990,2022-01-01,estonia,kagglazon,using llms to improve your coding
136991,2022-01-01,estonia,kagglazon,using llms to train more llms
136992,2022-01-01,estonia,kagglazon,using llms to win friends and influence people
136993,2022-01-01,estonia,kagglazon,using llms to win more kaggle competitions
136994,2022-01-01,estonia,kagglazon,using llms to write better
136995,2022-01-01,japan,kaggle learn,using llms to improve your coding
136996,2022-01-01,japan,kaggle learn,using llms to train more llms
136997,2022-01-01,japan,kaggle learn,using llms to win friends and influence people
136998,2022-01-01,japan,kaggle learn,using llms to win more kaggle competitions
136999,2022-01-01,japan,kaggle learn,using llms to write better
137000,2022-01-01,japan,kaggle store,using llms to improve your coding
137001,2022-01-01,japan,kaggle store,using llms to train more llms
137002,2022-01-01,japan,kaggle store,using llms to win friends and influence people
137003,2022-01-01,japan,kaggle store,using llms to win more kaggle competitions
137004,2022-01-01,japan,kaggle store,using llms to write better
137005,2022-01-01,japan,kagglazon,using llms to improve your coding
137006,2022-01-01,japan,kagglazon,using llms to train more llms
137007,2022-01-01,japan,kagglazon,using llms to win friends and influence people
137008,2022-01-01,japan,kagglazon,using llms to win more kaggle competitions
137009,2022-01-01,japan,kagglazon,using llms to write better
137010,2022-01-01,spain,kaggle learn,using llms to improve your coding
137011,2022-01-01,spain,kaggle learn,using llms to train more llms
